15:34:55.390 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
15:34:55.429 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
17:14:53.745 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:14:53.748 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:19:09.951 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:19:09.952 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:21:00.552 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:21:00.553 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:23:06.000 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:23:06.001 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:26:24.236 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:26:24.236 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:32:18.712 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:32:18.713 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:34:36.949 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:34:36.950 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:35:47.175 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:35:47.175 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:39:14.195 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:39:14.195 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:45:51.286 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:45:51.287 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:47:22.609 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:47:22.609 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:48:46.542 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:48:46.544 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:50:23.691 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:50:23.691 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
17:53:34.591 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:53:34.592 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
20:19:55.784 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
20:19:55.785 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
